customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST_0001,47.0,Male,North,Post-Graduate,Self-Employed,70675.95,1997.92,Business,774.0,2,195,0.282,2020-06-01,0
CUST_0002,40.0,Male,North,Primary,Salaried,47029.17,17790.79,Car,760.0,3,149,0.058,2023-05-18,0
CUST_0003,49.0,Male,West,Post-Graduate,Self-Employed,,30668.07,Business,682.0,2,124,0.14,2023-11-11,0
CUST_0004,60.0,Female,South,Secondary,Salaried,27934.71,5813.85,Other,634.0,1,118,0.09,2019-11-05,0
CUST_0005,39.0,Male,South,Graduate,Salaried,1331461.8918131483,9904.94,Education,796.0,0,95,0.267,2022-06-17,0
CUST_0006,39.0,Female,East,Post-Graduate,Self-Employed,70749.58,13574.09,Other,643.0,1,45,0.352,2022-08-18,0
CUST_0007,60.0,Male,South,Graduate,Salaried,262310.04,39536.53,Business,691.0,0,239,0.206,2022-10-01,0
CUST_0008,51.0,Female,West,Primary,Self-Employed,130306.1,17009.54,Car,754.0,3,215,0.287,2023-03-22,1
CUST_0009,36.0,,West,Secondary,Unemployed,33357.22,16974.7,Other,782.0,0,238,0.598,2019-11-15,0
CUST_0010,,Female,West,Post-Graduate,Unemployed,117274.63,14091.93,Car,622.0,2,228,0.379,2023-06-06,0
CUST_0011,36.0,Female,North,Graduate,,46907.81,6488.35,Home,784.0,0,239,0.36,2020-03-17,0
CUST_0012,,Female,East,Secondary,Self-Employed,158496.5,64121.98,Other,637.0,1,155,0.185,2019-11-07,0
CUST_0013,44.0,Female,West,Graduate,Salaried,,9560.85,Home,744.0,2,42,0.264,2020-12-11,0
CUST_0014,19.0,Female,South,Primary,Unemployed,,20952.34,Other,733.0,2,173,0.183,2023-07-07,0
CUST_0015,21.0,Female,South,Secondary,Self-Employed,31678.58,4027.11,Education,686.0,2,35,1.2091637884774107,2020-09-09,0
CUST_0016,35.0,Other,South,Secondary,Salaried,33000.17,14239.78,Car,571.0,3,148,0.685,2021-08-20,1
CUST_0017,29.0,Female,West,Primary,Salaried,30570.74,58534.06,Home,599.0,2,127,0.167,2023-10-28,1
CUST_0018,45.0,Female,West,Primary,Salaried,37869.96,134899.57,Business,759.0,1,135,0.202,2023-11-01,0
CUST_0019,31.0,Female,South,Post-Graduate,Self-Employed,118818.63,11225.7,Other,717.0,4,84,0.085,2023-06-24,1
CUST_0020,25.0,Male,West,Primary,Salaried,251912.07,4180.62,Home,725.0,1,246,0.689,2022-10-11,0
CUST_0021,59.0,Male,South,Primary,Self-Employed,20657.8,9438.4,Other,658.0,4,119,0.732,2022-09-12,1
CUST_0022,39.0,,North,Graduate,Self-Employed,164523.79,9909.23,Other,650.0,0,148,0.157,2021-03-03,0
CUST_0023,42.0,Male,West,Secondary,Unemployed,40857.15,25856.37,Other,718.0,3,72,0.247,2020-08-17,1
CUST_0024,,Female,North,Graduate,Unemployed,79087.18,17137.25,Home,654.0,0,73,0.087,2023-11-08,0
CUST_0025,35.0,Male,North,Primary,Salaried,15941.53,36575.04,Home,,0,186,0.507,2020-11-08,0
CUST_0026,43.0,Female,West,Post-Graduate,Self-Employed,91055.82,30208.16,Other,586.0,1,224,0.177,2022-11-20,0
CUST_0027,28.0,Male,South,Graduate,Self-Employed,12037.12,7235.71,Business,687.0,1,91,0.582,2019-12-27,0
CUST_0028,46.0,Male,East,Graduate,Self-Employed,76968.23,38341.53,Car,,1,46,0.249,2020-05-11,0
CUST_0029,34.0,Female,North,Secondary,Salaried,73556.19,47008.52,Other,698.0,0,196,0.206,2020-01-26,0
CUST_0030,38.0,Female,West,Secondary,Salaried,69759.31,22806.86,Business,593.0,1,130,0.555,2020-12-11,0
CUST_0031,34.0,Male,North,Secondary,Salaried,33258.71,65662.12,Car,784.0,0,23,0.186,2021-08-25,0
CUST_0032,64.0,Female,South,Post-Graduate,Salaried,92931.82,38190.47,Other,,0,93,0.559,2022-10-07,0
CUST_0033,41.0,Female,West,Post-Graduate,Salaried,81868.14,22621.16,Car,764.0,3,87,0.077,2021-06-26,1
CUST_0034,29.0,Male,East,Primary,Salaried,50616.75,59155.7,Other,655.0,0,66,0.301,2020-09-12,0
CUST_0035,51.0,Male,West,Primary,Self-Employed,102485.87,22929.68,Home,730.0,1,7,0.267,2022-06-11,0
CUST_0036,27.0,Other,North,Secondary,Salaried,55465.51,100393.12481645118,Other,717.0,1,12,0.277,2019-06-19,0
CUST_0037,44.0,Male,West,Graduate,Self-Employed,91401.92,11011.44,Other,638.0,2,222,0.416,2019-02-16,0
CUST_0038,,Male,West,Secondary,Salaried,54138.27,53610.35,Other,647.0,2,163,0.193,2023-12-19,0
CUST_0039,26.0,Male,North,Primary,Self-Employed,71208.08,3273.43,Other,764.0,2,23,0.277,2019-09-30,0
CUST_0040,44.0,Female,East,Graduate,Unemployed,94824.05,16037.73,Business,693.0,2,123,0.185,2019-06-26,0
CUST_0041,50.0,Female,South,Primary,Self-Employed,43550.22,19273.03,Education,658.0,1,213,0.362,2023-02-09,0
CUST_0042,44.0,Female,West,Post-Graduate,Self-Employed,22313.13,20227.93,Business,648.0,3,69,0.019,2020-02-02,1
CUST_0043,40.0,Male,East,Secondary,Salaried,74672.2,26380.91,Business,661.0,0,57,0.078,2021-08-19,0
CUST_0044,38.0,Female,South,Secondary,Self-Employed,155051.58,17620.15,Home,813.0,1,17,0.078,2022-02-04,0
CUST_0045,24.0,Male,North,Graduate,Salaried,76063.27,7420.36,Other,800.0,1,63,0.127,2022-06-11,0
CUST_0046,33.0,Male,East,Secondary,Salaried,77227.73,48613.05,Business,816.0,0,189,0.224,2023-02-17,0
CUST_0047,36.0,Male,East,Primary,Salaried,57887.64,26788.94,Car,812.0,0,175,0.227,2022-10-18,0
CUST_0048,54.0,Male,West,Primary,Salaried,108152.22,48831.29,Other,624.0,2,16,0.009,2019-09-21,0
CUST_0049,46.0,Female,North,Post-Graduate,Salaried,51598.7,8075.6,Home,130.0,0,228,0.539,2022-02-11,0
CUST_0050,20.0,Female,West,Primary,Self-Employed,41642.68,25337.73,Home,632.0,1,92,0.211,2023-06-06,0
CUST_0051,45.0,Male,North,Graduate,Salaried,144963.69,31309.28,Car,752.0,0,102,1.4870774406206775,2023-06-26,0
CUST_0052,37.0,Female,South,Primary,Self-Employed,39166.2,12088.58,Home,667.0,2,156,0.521,2021-11-14,0
CUST_0053,33.0,Female,West,Post-Graduate,Self-Employed,121975.66,41815.32,Other,646.0,0,174,0.049,2023-06-17,0
CUST_0054,49.0,Female,North,Post-Graduate,Salaried,,62.8,Education,649.0,0,141,0.621,2021-12-27,0
CUST_0055,54.0,Male,North,Secondary,Salaried,94226.2,22591.75,Education,621.0,1,180,0.174,2019-04-02,0
CUST_0056,53.0,Female,East,Graduate,Self-Employed,323303.5967476186,23770.01,Business,737.0,0,72,0.238,2022-01-27,0
CUST_0057,31.0,Male,West,Primary,Salaried,61189.07,19080.82,Home,723.0,3,180,0.176,2020-08-13,1
CUST_0058,38.0,Female,West,Post-Graduate,Salaried,50939.81,24859.58,Other,624.0,3,157,0.226,2022-07-09,1
CUST_0059,45.0,Male,South,Primary,Self-Employed,40263.5,4574.85,Car,753.0,0,104,0.255,2019-06-24,0
CUST_0060,53.0,Female,North,Post-Graduate,Salaried,67117.58,28862.23,Car,,1,156,0.429,2023-10-05,0
CUST_0061,36.0,Male,East,Secondary,Salaried,110787.04,10228.88,Other,603.0,0,27,0.173,2019-11-29,0
CUST_0062,39.0,Male,North,Post-Graduate,Salaried,41487.93,,Other,596.0,0,107,1.3657577058240826,2021-06-05,0
CUST_0063,28.0,Female,North,Secondary,Salaried,52202.93,10128.23,Car,606.0,2,66,0.507,2020-12-29,0
CUST_0064,27.0,Female,North,Graduate,Salaried,49372.7,16058.32,Home,753.0,1,83,0.143,2023-04-21,0
CUST_0065,51.0,Female,West,Primary,Salaried,151918.1,24293.05,Business,798.0,1,93,0.602,2021-11-17,0
CUST_0066,58.0,Female,North,Primary,Salaried,48743.13,45557.03,Business,459.0,2,193,0.052,2023-07-24,1
CUST_0067,41.0,Male,South,Secondary,Salaried,22302.98,16513.86,Business,585.0,0,124,0.244,2020-11-27,1
CUST_0068,54.0,Male,East,Graduate,Unemployed,17004.82,9760.37,Other,784.0,3,111,0.225,2022-05-11,1
CUST_0069,46.0,Male,East,Secondary,Salaried,80032.15,16732.93,Car,657.0,2,14,0.485,2019-05-09,0
CUST_0070,34.0,Male,North,Post-Graduate,Self-Employed,32580.02,29183.28,Car,764.0,2,14,0.143,2020-06-23,0
CUST_0071,46.0,Female,East,Secondary,Salaried,102229.91,10643.0,Car,686.0,2,74,0.287,2020-07-14,0
CUST_0072,60.0,Female,North,Graduate,Salaried,20640.78,13372.92,Car,705.0,2,248,0.056,2019-01-14,0
CUST_0073,41.0,Female,West,Post-Graduate,,38904.7,20686.39,Car,768.0,2,73,0.349,2019-03-04,0
